Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior
Mpumalanga,Ward 83103022,MP313,2772,0.4953102453102453,False,7.927324360309794,0.44340006992296466,2021,-0.030281809693574357,-0.2941176470588235
Mpumalanga,Ward 83103023,MP313,4486,0.4440481497993758,False,8.408716715080153,0.44523085904835286,2021,-0.13180463296543565,0.006732495511669656
Mpumalanga,Ward 83103024,MP313,4072,0.4029960707269155,False,8.311889558230359,0.4466970047295121,2021,-0.13603738652215508,-0.05390334572490707
Mpumalanga,Ward 83103025,MP313,3009,0.3911598537720173,False,8.009363076630045,0.44711972676361567,2021,-0.1788557630941982,-0.2168141592920354
Mpumalanga,Ward 83103026,MP313,6543,0.3594681338835396,False,8.78615105486974,0.4482515739024898,2021,-0.14879359777541612,0.44150693985459344
Mpumalanga,Ward 83103027,MP313,3475,0.4097841726618705,False,8.153349757998892,0.44645457251754944,2021,-0.05085722675503912,0.013119533527696792
Mpumalanga,Ward 83103028,MP313,882,0.5351473922902494,False,6.782192056006791,0.44197731467367873,2021,0.07190936778226575,-0.8362421091719272
Mpumalanga,Ward 83103029,MP313,4532,0.4766107678729038,False,8.418918622147897,0.4440679084028697,2021,-0.06558037431823838,0.05641025641025643
Mpumalanga,Ward 83104001,MP314,3997,0.4953715286464848,False,8.293299358711323,0.4670414250123192,2021,-0.13421896012498147,0.05601056803170401
Mpumalanga,Ward 83104002,MP314,2757,0.437069278200943,False,7.921898411023797,0.4753703179331109,2021,-0.08394188397896507,-0.09487852921864737
Mpumalanga,Ward 83104003,MP314,3125,0.4512,False,8.047189562170502,0.4733516433903885,2021,-0.10806493108728948,-0.04287901990811638
Mpumalanga,Ward 83104004,MP314,3533,0.5225021228417775,False,8.169902647359145,0.4631656258415631,2021,-0.07644320049988218,-0.019428254232583986
Mpumalanga,Ward 83104005,MP314,3251,0.3857274684712396,False,8.086717920303906,0.48270486218021136,2021,-0.05145201870824756,0.38931623931623927
Mpumalanga,Ward 83104006,MP314,2892,0.4401798063623789,False,7.969703583278656,0.4749259567671915,2021,-0.12392275774018519,-0.2584615384615384
Mpumalanga,Ward 83104007,MP314,3773,0.517095149748211,False,8.235625719964311,0.4639380505692155,2021,-0.05574226924305414,0.0631163708086786
Mpumalanga,Ward 83104008,MP314,3158,0.5155161494616846,False,8.057694194815587,0.46416362203871925,2021,-0.08296630390537207,-0.0015807777426494196
Mpumalanga,Ward 83105001,MP315,4207,0.420251961017352,False,8.344505083590521,0.4086538868109452,2021,-0.1666671439740421,0.2068273092369477
Mpumalanga,Ward 83105002,MP315,5510,0.4368421052631579,False,8.61431990214696,0.4081187208675321,2021,-0.12034906243129206,0.09608116172667591
Mpumalanga,Ward 83105003,MP315,5018,0.3826225587883619,False,8.520786726926367,0.4098677384957513,2021,-0.12836447291192626,-0.09618155619596547
Mpumalanga,Ward 83105004,MP315,4507,0.3605502551586421,False,8.413387022690648,0.4105797482902584,2021,-0.19354247523632068,-0.14004960885327222
Mpumalanga,Ward 83105005,MP315,4179,0.399617133285475,False,8.337827262447915,0.4093195264151993,2021,-0.17633223380313257,-0.020393811533052086
Mpumalanga,Ward 83105006,MP315,5266,0.4105582985187998,False,8.569026340056254,0.40896658560122107,2021,-0.1662865322561216,-0.02607730719437762
Mpumalanga,Ward 83105007,MP315,3328,0.4296875,False,8.1101268019411,0.40834951458569846,2021,-0.1191110760901809,-0.012755858795609587
Mpumalanga,Ward 83105008,MP315,5477,0.4203030856308198,False,8.608312784783722,0.4086522376298656,2021,-0.11206567712191623,0.01595251344833981
Mpumalanga,Ward 83105009,MP315,5282,0.3780764861794775,False,8.572060092857077,0.4100143859992637,2021,-0.17984215928820785,0.09064629361965726
Mpumalanga,Ward 83105010,MP315,4820,0.3821576763485477,False,8.480529207044645,0.40988273470348724,2021,-0.16631611900564702,-0.0746784411595316
Mpumalanga,Ward 83105011,MP315,5597,0.4111130963015901,False,8.62998601889136,0.4089486888985504,2021,-0.12435403172609161,-0.031660899653979224
Mpumalanga,Ward 83105012,MP315,4567,0.4738340267133786,False,8.426611813185,0.4069254330788153,2021,-0.11511017029998272,0.19648938957296314
Mpumalanga,Ward 83105013,MP315,4700,0.4089361702127659,False,8.45531778769815,0.40901891232077053,2021,-0.14579786141590528,-0.0347093859108647
Mpumalanga,Ward 83105014,MP315,6062,0.3665456944902672,False,8.709795057617749,0.41038634702149634,2021,-0.20020909731409497,0.0016523463317912324
Mpumalanga,Ward 83105015,MP315,4344,0.3968692449355432,False,8.37655086161377,0.4094081679748745,2021,-0.16512329401552106,-0.04674127715602372
Mpumalanga,Ward 83105016,MP315,4941,0.4389799635701275,False,8.50532301884575,0.40804975769633955,2021,-0.09034190844515433,-0.056160458452722106
Mpumalanga,Ward 83105017,MP315,3764,0.4104675876726886,False,8.23323750070527,0.40896951175754725,2021,-0.12797695496982137,-0.16836058329650905
Mpumalanga,Ward 83105018,MP315,5355,0.3718020541549953,False,8.585785982881848,0.4102167870323115,2021,-0.16540139659985736,-0.03756290438533427
Mpumalanga,Ward 83105019,MP315,5546,0.4067796610169492,False,8.620832226175724,0.4090884771335388,2021,-0.12353894124409914,-0.05001712915381984
Mpumalanga,Ward 83105020,MP315,5429,0.3720758887456253,False,8.599510233905452,0.4102079536584202,2021,-0.1598313555470226,-0.024087722451914484
Mpumalanga,Ward 83105021,MP315,4350,0.4245977011494253,False,8.37793112408273,0.40851370164539447,2021,-0.16375041680789904,0.042915368017262034
Mpumalanga,Ward 83105022,MP315,5829,0.4041859667181334,False,8.67060073804555,0.40917214469156515,2021,-0.13958692705476033,0.06758241758241756
Mpumalanga,Ward 83105023,MP315,4308,0.3950789229340761,False,8.36822903827628,0.4094659202975025,2021,-0.15515833722684824,-0.11120280585929443
Mpumalanga,Ward 83105024,MP315,4238,0.4872581406323737,False,8.351846738828245,0.4064923971459445,2021,-0.0726579768032165,-0.36518873576992206
Mpumalanga,Ward 83105025,MP315,3844,0.5234131113423517,False,8.254268770090183,0.40532610776820327,2021,-0.05080471975621337,-0.09574217831098564
Mpumalanga,Ward 83105026,MP315,4118,0.3984944147644487,False,8.323122887587735,0.40935574314168405,2021,-0.1356101887544715,-0.007471679922873009
Mpumalanga,Ward 83105027,MP315,4410,0.3693877551020408,False,8.391629968440892,0.41029466764692296,2021,-0.1280204522413717,-0.04751619870410362
Mpumalanga,Ward 83105028,MP315,4637,0.3832219107181367,False,8.441822884391462,0.4098484045625328,2021,-0.22203364804594072,0.33901241697949747
Mpumalanga,Ward 83105029,MP315,3819,0.3807279392511128,False,8.247743887225516,0.40992885525501743,2021,-0.2140416746965833,-0.048816936488169316
Mpumalanga,Ward 83105030,MP315,4353,0.39421088904204,False,8.378620541552298,0.409493921390794,2021,-0.17028043154684153,-0.043506921555702016
Mpumalanga,Ward 83105031,MP315,4457,0.4931568319497419,False,8.402231172946555,0.4063021167808681,2021,-0.05246934803767156,-0.06503041745332494
Mpumalanga,Ward 83105032,MP315,5217,0.3567184205482078,False,8.559677803022392,0.4107033558583369,2021,-0.1560588214961509,0.2577145612343299
Mpumalanga,Ward 83106001,MP316,3635,0.4184319119669876,False,8.19836438996762,0.4296784653046752,2021,-0.1657136370908422,-0.21269222438813085
Mpumalanga,Ward 83106002,MP316,4343,0.3545935988947732,False,8.376320632534823,0.431806409073749,2021,-0.19478628167481798,-0.0025264124942581123
Mpumalanga,Ward 83106003,MP316,4180,0.3909090909090909,False,8.338066525518801,0.43059589267327175,2021,-0.14843662085041398,-0.07603890362511057
Mpumalanga,Ward 83106004,MP316,3304,0.4918280871670702,False,8.102889134640868,0.42723192613133915,2021,-0.0786609033962698,-0.05519016299685442
Mpumalanga,Ward 83106005,MP316,3711,0.431959040689841,False,8.219056661060598,0.4292275610139134,2021,-0.0881616836562355,-0.06664989939637822
Mpumalanga,Ward 83106006,MP316,4828,0.4304059652029826,False,8.482187582217422,0.4292793301968087,2021,-0.11923374656643293,-0.033626901521216945
Mpumalanga,Ward 83106007,MP316,3976,0.4481891348088531,False,8.288031567776464,0.42868655787661303,2021,-0.11170737230628275,0.028719275549806023
Mpumalanga,Ward 83106008,MP316,3762,0.5334928229665071,False,8.232706009860976,0.42584310160469124,2021,-0.00296170032049603,-0.08266276517922455
Mpumalanga,Ward 83106009,MP316,4157,0.4404618715419774,False,8.332548939252638,0.42894413331884224,2021,-0.17718518728155203,0.1320806100217864
Mpumalanga,Ward 83106010,MP316,4144,0.4259169884169884,False,8.329416783939319,0.42942896275634185,2021,-0.17252524438266542,-0.10341843357853742
Mpumalanga,Ward 83106011,MP316,4016,0.5241533864541833,False,8.298041661371565,0.426154416155102,2021,-0.13709782596094766,-0.026188166828322035
Mpumalanga,Ward 83106012,MP316,4280,0.4813084112149532,False,8.361708288575842,0.42758258199640964,2021,-0.10022739551498644,-0.0767903364969802
Mpumalanga,Ward 83106013,MP316,3907,0.5313539800358331,False,8.27052509505507,0.425914396369047,2021,-0.07855614869868233,-0.05100801554529999
