Province,Ward,MunicipalityCode,RegisteredVoters_2011,VotesCast_2011,Turnout_2011,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021,TurnoutDelta_2011_2016,RegistrationGrowth_2011_2016
Eastern Cape,Ward 21004001,EC104,3239,1983,0.6122259956776783,2129,1312,0.6162517613903241,2278,1074,0.4714661984196663,0.00402576571264579,-0.34269836369249773
Eastern Cape,Ward 21004002,EC104,3385,1933,0.5710487444608567,3042,1489,0.4894806048652202,2640,1268,0.4803030303030303,-0.08156813959563652,-0.1013293943870015
Eastern Cape,Ward 21004003,EC104,3279,1752,0.5343092406221409,3979,1952,0.490575521487811,4045,1593,0.3938195302843016,-0.04373371913432994,0.21347971942665445
Eastern Cape,Ward 21004004,EC104,3679,1964,0.5338407175863006,4900,2920,0.5959183673469388,5274,2383,0.4518392112248767,0.06207764976063823,0.33188366403914116
Eastern Cape,Ward 21004005,EC104,3376,1902,0.5633886255924171,3780,1913,0.5060846560846561,3783,1738,0.4594237377742532,-0.057303969507760955,0.11966824644549767
Eastern Cape,Ward 21004006,EC104,2540,1561,0.6145669291338582,2841,1674,0.5892291446673706,2746,1324,0.4821558630735615,-0.0253377844664876,0.11850393700787398
Eastern Cape,Ward 21004007,EC104,1814,1085,0.5981256890848953,3465,1496,0.4317460317460317,2930,1222,0.4170648464163822,-0.16637965733886356,0.910143329658214
Eastern Cape,Ward 21004008,EC104,3351,1748,0.5216353327364965,2554,1415,0.5540328895849648,3033,1186,0.3910319815364326,0.032397556848468234,-0.2378394509101761
Eastern Cape,Ward 21004009,EC104,3136,1732,0.5522959183673469,2757,1434,0.5201305767138193,2377,1086,0.4568784181741691,-0.03216534165352758,-0.12085459183673475
Eastern Cape,Ward 21004010,EC104,4802,2585,0.5383173677634319,3428,1761,0.5137106184364061,3045,1317,0.432512315270936,-0.02460674932702578,-0.2861307788421491
Eastern Cape,Ward 21004011,EC104,3380,1994,0.5899408284023668,3325,1717,0.5163909774436091,2994,1386,0.4629258517034068,-0.07354985095875777,-0.016272189349112454
Eastern Cape,Ward 21004012,EC104,3205,968,0.3020280811232449,4139,1646,0.3976805991785455,2541,470,0.1849665486029122,0.09565251805530056,0.29141965678627146
Eastern Cape,Ward 21004013,EC104,2820,1799,0.6379432624113475,3079,1062,0.3449171809028905,2913,1357,0.4658427737727428,-0.293026081508457,0.09184397163120561
Eastern Cape,Ward 21004014,EC104,2870,1786,0.6222996515679442,2980,1737,0.5828859060402685,3065,1816,0.5924959216965743,-0.039413745527675736,0.03832752613240409
Eastern Cape,Ward 21005001,EC105,3283,2220,0.6762107828205909,3925,2534,0.6456050955414012,3614,2213,0.6123408965135584,-0.030605687279189664,0.1955528480048736
Eastern Cape,Ward 21005002,EC105,3079,2143,0.6960051964923677,2632,1792,0.6808510638297872,2655,1466,0.552165725047081,-0.015154132662580477,-0.1451770055212731
Eastern Cape,Ward 21005003,EC105,3534,2595,0.734295415959253,3727,2629,0.7053930775422592,3608,2038,0.5648558758314856,-0.028902338416993745,0.05461233729484993
Eastern Cape,Ward 21005004,EC105,3291,2615,0.7945913096323306,3464,2567,0.7410508083140878,3453,2153,0.6235157833767738,-0.05354050131824284,0.05256760862959586
Eastern Cape,Ward 21005005,EC105,3183,2197,0.690229343386742,3546,2322,0.6548223350253807,3308,1812,0.5477629987908101,-0.03540700836136135,0.11404335532516496
Eastern Cape,Ward 21005006,EC105,3160,2053,0.6496835443037975,2715,1769,0.6515653775322283,4012,2061,0.5137088733798604,0.0018818332284308292,-0.14082278481012656
Eastern Cape,Ward 21005007,EC105,2667,1700,0.6374203224596925,3045,1889,0.6203612479474548,2933,1564,0.5332424139106716,-0.01705907451223765,0.1417322834645669
Eastern Cape,Ward 21005008,EC105,3344,1963,0.5870215311004785,2791,1404,0.5030455034037979,2868,1417,0.4940725244072524,-0.08397602769668056,-0.16537081339712922
Eastern Cape,Ward 21005009,EC105,3303,1929,0.584014532243415,4856,3125,0.6435337726523888,2992,1578,0.5274064171122995,0.05951924040897372,0.4701786254919771
Eastern Cape,Ward 21005010,EC105,3688,2477,0.6716377440347071,3754,2477,0.659829515183804,3758,2136,0.5683874401277275,-0.011808228850903157,0.017895878524945674
Eastern Cape,Ward 21006001,EC106,3489,2189,0.6274004012611063,3400,1956,0.5752941176470588,3254,1422,0.43700061462815,-0.052106283614047455,-0.025508741759816544
Eastern Cape,Ward 21006002,EC106,3563,2382,0.6685377490878474,3733,2353,0.6303241360835788,3660,1884,0.5147540983606558,-0.03821361300426851,0.04771260174010661
Eastern Cape,Ward 21006003,EC106,3544,2308,0.6512415349887133,3885,2086,0.5369369369369369,3739,1506,0.4027814923776411,-0.1143045980517764,0.0962189616252822
Eastern Cape,Ward 21006004,EC106,2991,1806,0.6038114343029087,2736,1583,0.5785818713450293,3282,1551,0.4725776965265082,-0.02522956295787948,-0.08525576730190576
Eastern Cape,Ward 21006005,EC106,3398,2362,0.6951147733961154,3442,2087,0.6063335270191749,2026,871,0.4299111549851925,-0.08878124637694051,0.012948793407886905
Eastern Cape,Ward 21006006,EC106,2886,1971,0.682952182952183,2760,1587,0.575,2024,925,0.4570158102766798,-0.107952182952183,-0.043659043659043606
Eastern Cape,Ward 21006007,EC106,2763,1629,0.5895765472312704,2973,1626,0.5469223007063572,2752,1215,0.4414970930232558,-0.04265424652491323,0.07600434310532034
Eastern Cape,Ward 21006008,EC106,2732,1639,0.5999267935578331,2910,1622,0.5573883161512028,4297,2221,0.5168722364440307,-0.042538477406630304,0.06515373352855058
Eastern Cape,Ward 21008001,EC108,1076,737,0.6849442379182156,2838,1947,0.686046511627907,3653,1895,0.5187517109225295,0.0011022737096914037,1.6375464684014869
Eastern Cape,Ward 21008002,EC108,2102,1191,0.5666032350142721,4167,2373,0.5694744420446364,5229,3215,0.6148403136354944,0.0028712070303642534,0.9823977164605138
Eastern Cape,Ward 21008003,EC108,3034,2001,0.6595253790375741,2489,1695,0.680996384089996,3124,2144,0.6862996158770807,0.021471005052421832,-0.17963085036255766
Eastern Cape,Ward 21008004,EC108,6188,4152,0.6709760827407886,3571,2061,0.5771492579109493,3687,1838,0.4985082723081095,-0.09382682482983928,-0.42291531997414356
Eastern Cape,Ward 21008005,EC108,3007,1764,0.5866311938809444,3589,2336,0.6508776818055169,3797,2199,0.5791414274427179,0.06424648792457244,0.19354838709677424
Eastern Cape,Ward 21008006,EC108,3047,2050,0.6727929110600591,3859,2379,0.6164809536149262,5032,2496,0.4960254372019078,-0.056311957445132954,0.2664916311125698
Eastern Cape,Ward 21008007,EC108,3480,2318,0.6660919540229885,4071,2823,0.6934414148857775,4194,2414,0.5755841678588459,0.027349460862789,0.16982758620689653
Eastern Cape,Ward 21008008,EC108,3449,2826,0.8193679327341258,5179,4215,0.8138636802471519,5269,3394,0.6441449990510534,-0.005504252486973837,0.5015946651203247
Eastern Cape,Ward 21008009,EC108,4821,3346,0.6940468782410288,4133,2583,0.6249697556254536,4052,2083,0.5140671273445212,-0.06907712261557519,-0.14270898153909972
Eastern Cape,Ward 21008010,EC108,3812,2386,0.6259181532004198,4026,2326,0.5777446597118728,3875,2031,0.5241290322580645,-0.04817349348854694,0.056138509968520545
Eastern Cape,Ward 21008011,EC108,2813,1556,0.5531461073586917,2721,1842,0.6769570011025359,3015,1890,0.6268656716417911,0.12381089374384413,-0.032705296836118
Eastern Cape,Ward 21008012,EC108,3450,2572,0.7455072463768115,3695,2389,0.6465493910690122,3744,2565,0.6850961538461539,-0.09895785530779933,0.07101449275362315
Eastern Cape,Ward 21008013,EC108,2632,1850,0.702887537993921,4451,3061,0.6877106268254325,4195,2332,0.5558998808104887,-0.015176911168488516,0.6911094224924013
Eastern Cape,Ward 21008014,EC108,4092,2992,0.7311827956989247,5338,3758,0.7040089921318846,4895,2366,0.4833503575076608,-0.027173803567040133,0.30449657869012703
Eastern Cape,Ward 21008015,EC108,4432,3372,0.7608303249097473,4018,2628,0.6540567446490791,2811,1620,0.576307363927428,-0.10677358026066819,-0.09341155234657039
Eastern Cape,Ward 21009001,EC109,3749,2178,0.5809549213123499,4414,2356,0.5337562301767105,3481,1817,0.5219764435507038,-0.04719869113563946,0.17738063483595634
Eastern Cape,Ward 21009002,EC109,2956,2033,0.6877537212449256,3188,2087,0.654642409033877,3412,1574,0.4613130128956623,-0.03311131221104857,0.07848443843031117
Eastern Cape,Ward 21009003,EC109,2633,1537,0.5837447778199772,3056,1775,0.580824607329843,3001,1747,0.5821392869043652,-0.0029201704901342662,0.160653247246487
Eastern Cape,Ward 21009004,EC109,2862,1728,0.6037735849056604,3034,1888,0.6222808174027686,3043,1678,0.5514295103516267,0.018507232497108284,0.060097833682739354
Eastern Cape,Ward 21009005,EC109,3343,2058,0.6156147173197727,3604,2133,0.591842397336293,3608,1687,0.4675720620842572,-0.02377231998347973,0.07807358659886332
Eastern Cape,Ward 21009006,EC109,3036,1937,0.6380105401844532,3117,1866,0.5986525505293552,4100,2088,0.5092682926829268,-0.03935798965509807,0.02667984189723316
Eastern Cape,Ward 21201001,EC121,3493,1541,0.44116805038648726,4359,1593,0.3654507914659325,4530,1407,0.3105960264900662,-0.07571725892055475,0.24792442026910955
Eastern Cape,Ward 21201002,EC121,3484,2034,0.5838117106773824,4206,2386,0.567284831193533,4058,1948,0.4800394282897979,-0.016526879483849344,0.2072330654420207
Eastern Cape,Ward 21201003,EC121,3810,2254,0.5916010498687664,4288,2357,0.5496735074626866,3671,1742,0.4745301007899755,-0.041927542406079765,0.12545931758530182
Eastern Cape,Ward 21201004,EC121,3731,2157,0.5781291878852854,4922,2619,0.5321007720438846,4115,1725,0.4191980558930741,-0.04602841584140083,0.3192173679978558
Eastern Cape,Ward 21201005,EC121,4052,2333,0.5757650542941757,3864,1906,0.4932712215320911,4151,1891,0.4555528788243796,-0.0824938327620846,-0.04639684106614017
Eastern Cape,Ward 21201006,EC121,4191,2386,0.5693151992364591,4244,2251,0.5303958529688972,3988,1877,0.4706619859578736,-0.03891934626756188,0.012646146504414313
Eastern Cape,Ward 21201007,EC121,3238,1987,0.6136504014823966,4400,2281,0.5184090909090909,3601,1660,0.4609830602610386,-0.09524131057330565,0.358863495985176
Eastern Cape,Ward 21201008,EC121,3264,1947,0.5965073529411765,4099,2300,0.5611124664552329,3795,1643,0.4329380764163373,-0.03539488648594358,0.2558210784313726
Eastern Cape,Ward 21201009,EC121,3476,1854,0.5333716915995397,4903,2484,0.5066285947379155,4279,1568,0.3664407571862584,-0.026743096861624127,0.41052934407364794
