Province,Ward,MunicipalityCode,Municipality_2016,Municipality_2021,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021
Eastern Cape,Ward 21301009,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3387,2155,0.6362562739887806,3751,2021,0.5387896560917089
Eastern Cape,Ward 21305001,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4232,2532,0.5982986767485823,4086,2121,0.5190895741556535
Eastern Cape,Ward 21305002,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3466,2154,0.621465666474322,3245,1572,0.48443759630200306
Eastern Cape,Ward 21305003,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4421,2798,0.6328884867676996,3526,1781,0.505104934770278
Eastern Cape,Ward 21305004,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4170,2599,0.6232613908872902,3976,2288,0.5754527162977867
Eastern Cape,Ward 21305005,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3694,2211,0.5985381700054142,3523,1722,0.48878796480272496
Eastern Cape,Ward 21305006,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3890,2276,0.5850899742930591,3941,1927,0.4889621923369703
Eastern Cape,Ward 21305007,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3991,2274,0.5697820095214232,4032,2219,0.5503472222222222
Eastern Cape,Ward 21305008,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3957,2295,0.5799848369977255,3864,1844,0.4772256728778468
Eastern Cape,Ward 21305009,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3312,1799,0.5431763285024155,3335,1647,0.49385307346326834
Eastern Cape,Ward 21305010,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3318,1916,0.5774562989752863,3168,1720,0.5429292929292929
Eastern Cape,Ward 21305011,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3377,1980,0.5863192182410424,3221,1651,0.5125737348649487
Eastern Cape,Ward 21305012,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3395,1850,0.5449189985272459,3527,1270,0.36007938758151403
Eastern Cape,Ward 21305013,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4126,2283,0.5533204071740184,4197,1900,0.4527043126042411
Eastern Cape,Ward 21305014,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4203,2129,0.5065429455151083,4100,1464,0.3570731707317073
Eastern Cape,Ward 21305015,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3213,1814,0.5645813881107998,3176,1595,0.5022040302267002
Eastern Cape,Ward 21305016,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3236,1833,0.5664400494437577,3071,1511,0.49202214262455224
Eastern Cape,Ward 21305017,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3470,1935,0.5576368876080692,3389,1567,0.4623782826792564
Eastern Cape,Ward 21305018,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3404,1973,0.5796122209165687,3340,1525,0.4565868263473054
Eastern Cape,Ward 21305019,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3600,1995,0.5541666666666667,3183,1688,0.5303173107131637
Eastern Cape,Ward 21305020,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,4069,2433,0.5979356107151634,3933,2050,0.5212306127637936
Eastern Cape,Ward 21305021,EC135,EC135 - Intsika Yethu,EC135 - Intsika Yethu,3394,2062,0.6075427224513847,3265,1787,0.5473200612557427
Eastern Cape,Ward 21306001,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3713,2877,0.7748451387018583,3537,1943,0.5493355951371218
Eastern Cape,Ward 21306002,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3437,2084,0.6063427407622927,3266,1907,0.5838946723821188
Eastern Cape,Ward 21306003,EC136,EC136 - Emalahleni,EC136 - Emalahleni,4004,2341,0.5846653346653347,3766,1808,0.4800849707912905
Eastern Cape,Ward 21306004,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3548,1934,0.5450958286358512,3494,1577,0.45134516313680595
Eastern Cape,Ward 21306005,EC136,EC136 - Emalahleni,EC136 - Emalahleni,4081,2368,0.5802499387405048,3957,2167,0.5476370988122314
Eastern Cape,Ward 21306006,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3754,2337,0.6225359616409164,3738,1996,0.5339753879079722
Eastern Cape,Ward 21306007,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3854,2099,0.5446289569278672,3563,1668,0.46814482177939937
