Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior,Target_Turnout
Eastern Cape,Ward 24401006,EC441,3804,0.6169821240799159,False,8.24380842366528,0.592940695152553,2016,0.0179516531657885,0.317174515235457,0.5151343705799152
Eastern Cape,Ward 24401007,EC441,3711,0.5785502559956885,False,8.219056661060598,0.594477969875922,2016,0.0139368877125954,-0.0272608125819134,0.5349716446124764
Eastern Cape,Ward 24401008,EC441,3905,0.5851472471190781,False,8.270013062273787,0.5942140902309865,2016,0.0303566561839088,0.1201950659781985,0.5036997885835095
Eastern Cape,Ward 24401009,EC441,4302,0.5216178521617852,False,8.366835309827675,0.5967552660292782,2016,-0.0871041345129572,0.3028467595396729,0.4894409937888199
Eastern Cape,Ward 24401010,EC441,3990,0.6117794486215539,False,8.29154650988391,0.5931488021708874,2016,0.0074257071249552,0.0857142857142856,0.5662592858854542
Eastern Cape,Ward 24401011,EC441,4032,0.5828373015873016,False,8.302017809751204,0.5943064880522575,2016,-0.0506904691456427,0.0225716459548566,0.5343980343980343
Eastern Cape,Ward 24401012,EC441,3813,0.6050354051927616,False,8.246171559857563,0.5934185639080392,2016,-0.013529337396942,-0.0085803432137285,0.5227221342979878
Eastern Cape,Ward 24401013,EC441,3296,0.6504854368932039,False,8.100464891029363,0.5916005626400215,2016,0.0081579982166494,-0.0598973188819167,0.583743842364532
Eastern Cape,Ward 24401014,EC441,3352,0.6181384248210023,False,8.117312461601975,0.5928944431229095,2016,0.0137501269486619,0.1143617021276595,0.4824451410658307
Eastern Cape,Ward 24401015,EC441,3663,0.5992355992355992,False,8.206037762778815,0.5936505561463256,2016,-0.0145397467573199,0.1789507563566141,0.4856512141280353
Eastern Cape,Ward 24401016,EC441,4228,0.618968779564806,False,8.349484346990128,0.5928612289331574,2016,0.0400042728894559,0.3767502442201238,0.5289281364190013
Eastern Cape,Ward 24401017,EC441,3971,0.6328380760513724,False,8.286773231131251,0.5923064570736947,2016,0.0031178913189627,0.0787829394186363,0.5351861295257522
Eastern Cape,Ward 24401018,EC441,3374,0.6004742145820984,False,8.123854263105914,0.5936010115324657,2016,-0.0146809166828181,0.006563245823389,0.5010839269123568
Eastern Cape,Ward 24401019,EC441,3498,0.4719839908519154,False,8.159946655578548,0.598740620481673,2016,0.0491825013073722,0.0020051561157261,0.4046997389033943
Eastern Cape,Ward 24401020,EC441,3818,0.5746464117338921,False,8.247482004285693,0.5946341236463939,2016,0.0027981211356015,0.0197649572649571,0.4347324723247232
Eastern Cape,Ward 24401021,EC441,3457,0.6398611512872433,False,8.148156439921625,0.5920255340642598,2016,-0.0121774419278205,0.0759414877061936,0.6115384615384616
Eastern Cape,Ward 24401022,EC441,3317,0.5580343684051854,False,8.106816038947052,0.5952986053795422,2016,-0.0316058301059808,0.0288461538461537,0.5582390706206053
Eastern Cape,Ward 24401023,EC441,3250,0.6150769230769231,False,8.086410275323782,0.5930169031926726,2016,-0.0059786479926106,-0.0924322814856185,0.5436778205507847
Eastern Cape,Ward 24401024,EC441,3268,0.6202570379436965,False,8.091933455979893,0.5928096985980017,2016,0.0036897332684533,0.0254157514904298,0.560195062480951
Eastern Cape,Ward 24401025,EC441,4240,0.6127358490566037,False,8.352318548226004,0.5931105461534855,2016,0.0020488261558403,0.2448620082207868,0.5577105014191107
Eastern Cape,Ward 24401026,EC441,3877,0.670621614650503,False,8.262816937670928,0.5907951155297294,2016,0.0058050867442432,0.1954979956830096,0.5879278808466162
Eastern Cape,Ward 24402001,EC442,3939,0.6202081746636202,False,8.278682162970906,0.539319039929881,2016,-0.0732950892468553,0.2244327012744793,0.5521176768957646
Eastern Cape,Ward 24402002,EC442,3874,0.5668559628291172,False,8.262042843966942,0.5413710480773618,2016,-0.0072181112449568,0.4640967498110355,0.5265524023602135
Eastern Cape,Ward 24402003,EC442,3232,0.5618811881188119,False,8.080856419640986,0.5415623855662197,2016,-0.0446251768033946,-0.0857142857142857,0.4561531007751938
Eastern Cape,Ward 24402004,EC442,4058,0.6153277476589453,False,8.30844552038576,0.53950674866083,2016,0.0083670515893382,0.2175217521752175,0.5169213973799127
Eastern Cape,Ward 24402005,EC442,3704,0.5990820734341252,False,8.21716859576607,0.5401315822848616,2016,-0.0110470904000011,0.2590074779061861,0.5876288659793815
Eastern Cape,Ward 24402006,EC442,3155,0.6196513470681458,False,8.056743774975313,0.5393404563758607,2016,-0.0409984724264389,0.0354446997046276,0.5377329666972197
Eastern Cape,Ward 24402007,EC442,4860,0.5415637860082304,False,8.48879371689454,0.5423438241089344,2016,0.0204202481880994,0.4472900536033353,0.4902127659574468
Eastern Cape,Ward 24402008,EC442,3513,0.6077426700825506,False,8.164225652265827,0.5397984824137683,2016,0.0231671678142421,0.1383668178872326,0.492121553179516
Eastern Cape,Ward 24402009,EC442,3516,0.5136518771331058,False,8.165079258805068,0.54341735906567,2016,-0.0390946896584047,0.097378277153558,0.4642857142857143
Eastern Cape,Ward 24402010,EC442,3847,0.5126072264101897,False,8.255048902752295,0.5434575379396283,2016,-0.0360790177938288,-0.0090159711488922,0.4885832187070151
Eastern Cape,Ward 24402011,EC442,4092,0.5549853372434017,False,8.316789127071518,0.5418276105998894,2016,-0.0658555190888139,0.0554552489037916,0.5441988950276243
Eastern Cape,Ward 24402012,EC442,3427,0.5307849430989203,False,8.139440521874608,0.5427583949900617,2016,0.0341988086451388,-0.1000525210084033,0.4917471192774836
Eastern Cape,Ward 24402013,EC442,3577,0.5255800950517193,False,8.182279739259018,0.5429585814534156,2016,0.0271119577968173,0.0958946078431373,0.4864056552474171
Eastern Cape,Ward 24402014,EC442,3960,0.5343434343434343,False,8.283999304248526,0.5426215299421958,2016,-0.0210371430843872,0.0393700787401574,0.4347716376482463
Eastern Cape,Ward 24402015,EC442,3693,0.5477931221229353,False,8.214194414852564,0.5421042342583688,2016,-0.018863234202459,0.1422827095576864,0.5033713692946058
Eastern Cape,Ward 24402016,EC442,4158,0.5004810004810005,False,8.332789468417959,0.5439239312445971,2016,0.0666741822991823,0.1812499999999999,0.3647196261682243
Eastern Cape,Ward 24402017,EC442,3776,0.511917372881356,False,8.236420527265391,0.5434840707676604,2016,0.0476073796794525,0.2834806254248809,0.4063476797307045
Eastern Cape,Ward 24402018,EC442,4061,0.3730608224575227,False,8.309184527686298,0.5488247073224232,2016,0.0535191292684711,0.2924888605983451,0.2961325966850828
Eastern Cape,Ward 24402019,EC442,3641,0.4910738808019775,False,8.200013648175434,0.5442857435399442,2016,-0.0307241154070666,-0.0140806932033576,0.4341552990556138
Eastern Cape,Ward 24402020,EC442,4117,0.5110517367014816,False,8.322880021769905,0.5435173644668863,2016,0.0077640654686048,0.1279452054794521,0.4459211732355637
Eastern Cape,Ward 24402021,EC442,4253,0.5123442276040442,False,8.355379895253634,0.5434676532783261,2016,-0.0056474041951189,0.1863319386331938,0.4479902557856273
Eastern Cape,Ward 24402022,EC442,3501,0.5612682090831191,False,8.160803920954665,0.5415859616829771,2016,0.0210620235161088,0.031222385861561,0.4591346153846153
Eastern Cape,Ward 24402023,EC442,3970,0.5624685138539043,False,8.286521373681236,0.54153979611487,2016,-0.0043016724814994,0.0274327122153208,0.5618896806545263
Eastern Cape,Ward 24402024,EC442,4095,0.5682539682539682,False,8.31752199628717,0.5413172786379445,2016,-0.0619570456420688,0.0537828100874935,0.5039290240811153
Eastern Cape,Ward 24402025,EC442,4065,0.4489544895448955,False,8.310169021981912,0.545905720126755,2016,-0.1072359866455807,0.1061224489795917,0.3889284865763839
Eastern Cape,Ward 24402026,EC442,4033,0.6513761467889908,False,8.302265794873367,0.5381202717712129,2016,0.051829918768571,0.1437889960294951,0.5430296930045294
Eastern Cape,Ward 24402027,EC442,3322,0.4981938591210114,False,8.10832229017324,0.5440118982199813,2016,-0.0348654077512051,0.1380609797875984,0.4616526472043543
Eastern Cape,Ward 24403001,EC443,4726,0.3906051629284807,False,8.460834457746854,0.5660219873460675,2016,-0.0756492065256736,0.2707717128260285,0.326673751328374
Eastern Cape,Ward 24403002,EC443,3831,0.5536413469068129,False,8.25088114470065,0.560587447880123,2016,0.074879040296405,0.0776371308016876,0.490387080235837
Eastern Cape,Ward 24403003,EC443,3700,0.5659459459459459,False,8.216088098632316,0.5601772945788187,2016,-0.0327402290316592,0.1048074051955807,0.4904423812124522
Eastern Cape,Ward 24403004,EC443,3751,0.6001066382298054,False,8.229777750081887,0.5590386048360233,2016,0.0511544955960862,0.173287456990929,0.5052362707535122
Eastern Cape,Ward 24403005,EC443,3603,0.5809048015542604,False,8.189522110748094,0.5596786660585414,2016,-0.0304864769980979,0.0688223079204983,0.5225949542556141
Eastern Cape,Ward 24403006,EC443,4813,0.522543112403906,False,8.47907586930311,0.5616240556968867,2016,-0.0417972539304319,0.1159285879897982,0.4852263486039577
Eastern Cape,Ward 24403007,EC443,3776,0.5590572033898306,False,8.236420527265391,0.5604069193306891,2016,-0.0029312779681567,0.1445892694755985,0.4379746835443038
Eastern Cape,Ward 24403008,EC443,4676,0.5425577416595381,False,8.450198322591959,0.5609569013883655,2016,-0.0501623763926015,0.1500245941957698,0.5225571947829806
Eastern Cape,Ward 24403009,EC443,4561,0.5511949133961851,False,8.4252971767117,0.5606689956638107,2016,-0.0408050866038148,-0.0644102564102564,0.4647739221871714
Eastern Cape,Ward 24403010,EC443,4412,0.5167724388032638,False,8.392083380373393,0.5618164114835746,2016,0.0548356185029013,0.1424132573795959,0.4496792744967927
Eastern Cape,Ward 24403011,EC443,4099,0.5691632105391559,False,8.318498320504338,0.5600700524257116,2016,0.0700982893529416,0.0951108736307775,0.4762368998293931
Eastern Cape,Ward 24403012,EC443,4214,0.6271950640721404,False,8.346167594364134,0.5581356573079455,2016,0.0057971486828087,0.2918454935622316,0.4527456987980203
Eastern Cape,Ward 24403013,EC443,4787,0.5569250052224776,False,8.473659189392508,0.5604779926029342,2016,0.008537908448284,0.1787737010588526,0.4240039350713231
Eastern Cape,Ward 24403014,EC443,4242,0.5780292314945781,False,8.352790135124629,0.5597745183938642,2016,0.0001624312942776,0.0620931397095643,0.5153774464119292
Eastern Cape,Ward 24403015,EC443,4028,0.5322740814299901,False,8.301025253838453,0.5612996900626839,2016,-0.05694478555279,0.0052408285500373,0.5292533659730723
Eastern Cape,Ward 24403016,EC443,4339,0.581700852731044,False,8.37539918579835,0.5596521310193154,2016,-0.0437116885230813,0.1933443344334433,0.4578703703703703
Eastern Cape,Ward 24403017,EC443,4970,0.5396378269617707,False,8.511175119090675,0.5610542318782912,2016,-0.0100173454520224,0.1425287356321838,0.4568622245818954
Eastern Cape,Ward 24403018,EC443,4468,0.5696060877350044,False,8.404696160189092,0.5600552898525167,2016,-0.0130730094190681,0.0961727183513247,0.4774222827320172
Eastern Cape,Ward 24403019,EC443,4837,0.5503411205292537,False,8.484049972822984,0.5606974554260417,2016,-0.2013397400713739,0.0840430300313761,0.4552643470402169
Eastern Cape,Ward 24403020,EC443,4235,0.5497048406139315,False,8.351138607086154,0.5607186647565524,2016,0.0055187941023036,0.0367197062423501,0.4294418718011211
Eastern Cape,Ward 24403021,EC443,3979,0.5677305855742649,False,8.288785810426928,0.560117806591208,2016,-0.0504512326075532,0.1303977272727272,0.4954152475766308
Eastern Cape,Ward 24403022,EC443,4727,0.5813412312248784,False,8.461046030793236,0.5596641184028541,2016,-0.0059524155985333,0.1823411705852926,0.4605694129503653
Eastern Cape,Ward 24403023,EC443,4730,0.6052854122621565,False,8.46168048148598,0.558865979034945,2016,0.0091468245869382,0.2509918011108172,0.4524739583333333
Eastern Cape,Ward 24403024,EC443,4468,0.6345120859444942,False,8.404696160189092,0.557891756578867,2016,0.0680785195109276,0.4202161474888748,0.4034617762208943
Eastern Cape,Ward 24403025,EC443,4466,0.6233766233766234,False,8.404248432400102,0.5582629386644627,2016,0.0208156183029341,0.0790045904807925,0.5822354441138972
Eastern Cape,Ward 24403026,EC443,3777,0.5673815197246492,False,8.236685322712457,0.5601294421195285,2016,-0.0211969266984395,0.1596561252686521,0.5343995938055344
Eastern Cape,Ward 24403027,EC443,3777,0.594387079692878,False,8.236685322712457,0.5592292567872542,2016,0.0603634110538247,0.1174556213017752,0.5233999494055148
Eastern Cape,Ward 24403028,EC443,3868,0.5103412616339194,False,8.260492856573185,0.5620307840558862,2016,-0.0658806670318666,0.0219286657859973,0.4673965936739659
Eastern Cape,Ward 24403029,EC443,3476,0.5273302646720368,False,8.153637486385282,0.5614644839546156,2016,-0.0756318543823636,-0.0099686698946168,0.4334069168506254
Eastern Cape,Ward 24403030,EC443,4213,0.582008070258723,False,8.345930261979017,0.5596418904350594,2016,0.0300010383220105,0.2343978904189863,0.3757120072909546
Eastern Cape,Ward 24403031,EC443,4286,0.5396640223985067,False,8.363109176033522,0.5610533586970665,2016,-0.0195371188283121,0.2228245363766048,0.4586150617859641
Eastern Cape,Ward 24404001,EC444,3361,0.5840523653674502,False,8.119993827725105,0.535032995214317,2016,0.0077418146043446,0.115129396151294,0.5574455386451805
Eastern Cape,Ward 24404002,EC444,3521,0.5089463220675944,False,8.166500319155052,0.539727122920558,2016,-0.0199769310824629,0.0083046964490263,0.4651222651222651
Eastern Cape,Ward 24404003,EC444,3291,0.4898207231844424,False,8.098946748943339,0.540922472850755,2016,-0.1133741649944713,0.0514376996805112,0.5250551528521904
Eastern Cape,Ward 24404004,EC444,3295,0.5960546282245827,False,8.100161446936607,0.5342828537857462,2016,0.0397865935980997,0.0564283424174414,0.4798105682951146
Eastern Cape,Ward 24404005,EC444,4247,0.5829997645396751,False,8.353968130313271,0.5350987827660529,2016,0.0480324442782371,0.3879084967320261,0.5054001661589588
Eastern Cape,Ward 24404006,EC444,4099,0.472798243474018,False,8.318498320504338,0.5419863778326565,2016,-0.0425356630894672,0.174835196331327,0.5226837060702876
Eastern Cape,Ward 24404007,EC444,4126,0.5433834222006786,False,8.325063693631197,0.5375748041622402,2016,-0.0201996223207823,0.0999733404425486,0.4747972190034762
Eastern Cape,Ward 24404008,EC444,4458,0.5179452669358456,False,8.402455513945814,0.5391646888662923,2016,-0.0421022954898381,0.3252080856123662,0.4437086092715231
Eastern Cape,Ward 24404009,EC444,4108,0.582035053554041,False,8.32069157104845,0.5351590772026551,2016,0.0888843686225341,0.2789539227895392,0.3591078066914498
Eastern Cape,Ward 24404010,EC444,3692,0.4845612134344528,False,8.213923595622743,0.5412511922101293,2016,-0.0321723876364976,0.2356091030789826,0.4306969459671104
Eastern Cape,Ward 24404011,EC444,3497,0.5164426651415499,False,8.159660737063376,0.5392586014784357,2016,-0.0448872251102254,0.1287927695287283,0.4885264030964888
Eastern Cape,Ward 24404012,EC444,3451,0.544190089829035,False,8.146419323098003,0.5375243874354679,2016,0.010399993285902,0.0747430706944876,0.4933774834437086
Eastern Cape,Ward 24404013,EC444,4162,0.5209034118212398,False,8.33375100695358,0.5389798048109552,2016,-0.0530826021647742,0.1641958041958042,0.4405412438199323
Eastern Cape,Ward 24404014,EC444,3259,0.60632095734888,False,8.089175678837561,0.5336412082154777,2016,0.0519701847817887,-0.1165627541339116,0.5018544935805992
Eastern Cape,Ward 24404015,EC444,3923,0.5574815192454754,False,8.274611946209552,0.5366936730969404,2016,-0.0136085281478894,0.3280297901150981,0.498580352072686
Eastern Cape,Ward 24404016,EC444,3432,0.4705710955710955,False,8.140898460607852,0.5421255745765892,2016,-0.0751120561472616,-0.0410729253981558,0.6028169014084507
Eastern Cape,Ward 24404017,EC444,4215,0.566073546856465,False,8.346404870435956,0.5361566713712536,2016,0.0796566180603541,0.2053188447240492,0.4702983848891322
Eastern Cape,Ward 29300001,NMA,13237,0.6596660874820579,True,9.490771217713771,0.6305565960042211,2016,0.0481105319265023,0.3073580246913581,0.4355910745371103
Eastern Cape,Ward 29300002,NMA,9828,0.7366707366707367,True,9.19299073364107,0.6292514324586502,2016,0.16553671605218,-0.1189601075750784,0.4879783610498898
Eastern Cape,Ward 29300003,NMA,11834,0.7487747169173568,True,9.378732023236639,0.6290462802510803,2016,0.0602255281337124,0.1098190002813466,0.58044824278364
Eastern Cape,Ward 29300004,NMA,11538,0.5238342867048015,True,9.353401214816834,0.6328588299157,2016,0.0484924668085261,0.0879773691654879,0.3747640873550822
Eastern Cape,Ward 29300005,NMA,10169,0.5582653161569476,True,9.227099155791137,0.6322752531453246,2016,-0.0198434472652899,0.1741138436670131,0.3575435784411941
Eastern Cape,Ward 29300006,NMA,11971,0.7955893409071924,True,9.39024233725137,0.6282528120478629,2016,0.0550203208861175,0.2614330874604846,0.6022110552763819
Eastern Cape,Ward 29300007,NMA,12920,0.7458204334365325,True,9.466531777336593,0.6290963528524502,2016,0.062205893746803,0.4630279696523609,0.5889758115277403
Eastern Cape,Ward 29300008,NMA,11498,0.787180379196382,True,9.349928386183237,0.6283953368226224,2016,0.0672896416746535,-0.0482575945699859,0.5786153079860534
Eastern Cape,Ward 29300009,NMA,10641,0.796541678413683,True,9.272469743441732,0.6282366707341935,2016,0.0393376285694462,0.0359228971962617,0.6020475251244481
