Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SpoiltRatio_prior,SnapshotYear
KwaZulu-Natal,Ward 52502023,KZN252,4929,0.4311219314262527,False,8.502891406705377,0.4579663445498137,0.01411764705882353,2021
KwaZulu-Natal,Ward 52502024,KZN252,5885,0.3870858113848768,False,8.680162019694377,0.4593007724298554,0.012291483757682178,2021
KwaZulu-Natal,Ward 52502025,KZN252,4366,0.4535043518094365,False,8.38160253710989,0.4572880893866869,0.051515151515151514,2021
KwaZulu-Natal,Ward 52502026,KZN252,5957,0.3777068994460298,False,8.692322277628687,0.4595849818825477,0.018666666666666668,2021
KwaZulu-Natal,Ward 52502027,KZN252,5919,0.4260854874134144,False,8.685922794690725,0.45811896406535424,0.013084853291038858,2021
KwaZulu-Natal,Ward 52502028,KZN252,5368,0.393070044709389,False,8.588210678651517,0.4591194320260823,0.015639810426540283,2021
KwaZulu-Natal,Ward 52502029,KZN252,5380,0.4576208178438661,False,8.59044365315583,0.4571633479917042,0.020308692120227456,2021
KwaZulu-Natal,Ward 52502030,KZN252,5069,0.4673505622410732,False,8.53089883847235,0.4568685072523949,0.020683832840861123,2021
KwaZulu-Natal,Ward 52502031,KZN252,5189,0.4359221429947967,False,8.55429627936774,0.4578208835931912,0.01989389920424403,2021
KwaZulu-Natal,Ward 52502032,KZN252,6056,0.4526089828269485,False,8.708804795117285,0.45731522178009565,0.02334914264866837,2021
KwaZulu-Natal,Ward 52502033,KZN252,6377,0.4575819350791908,False,8.760453046315272,0.4571645262573005,0.01439342015078821,2021
KwaZulu-Natal,Ward 52502034,KZN252,5795,0.4698878343399482,False,8.664750755773852,0.45679162021909564,0.012853470437017995,2021
KwaZulu-Natal,Ward 52503001,KZN253,2484,0.4935587761674718,False,7.81762544305337,0.5519700813566756,0.024469820554649267,2021
KwaZulu-Natal,Ward 52503002,KZN253,2676,0.5056053811659192,False,7.892078421248119,0.5495607603569861,0.028824833702882482,2021
KwaZulu-Natal,Ward 52503003,KZN253,2732,0.5439238653001464,False,7.912789220690681,0.5418970635301406,0.019515477792732168,2021
KwaZulu-Natal,Ward 52503004,KZN253,2543,0.5501376327172631,False,7.841099765422119,0.5406543100467174,0.04145818441744103,2021
KwaZulu-Natal,Ward 52503005,KZN253,2411,0.6383243467440896,False,7.787796878181171,0.523016967241352,0.022092267706302793,2021
KwaZulu-Natal,Ward 52503006,KZN253,2173,0.5218591808559595,False,7.6838639802564295,0.546310000418978,0.04497354497354497,2021
KwaZulu-Natal,Ward 52504001,KZN254,4016,0.4113545816733068,False,8.298041661371565,0.4841741905649913,0.033292978208232446,2021
KwaZulu-Natal,Ward 52504002,KZN254,4502,0.486228342958685,False,8.412277021466677,0.47793471045787644,0.01507537688442211,2021
KwaZulu-Natal,Ward 52504003,KZN254,3696,0.5462662337662337,False,8.215006432761575,0.4729315528905807,0.008915304606240713,2021
KwaZulu-Natal,Ward 52504004,KZN254,3478,0.3944795859689476,False,8.154212694914229,0.48558044020702124,0.02988338192419825,2021
KwaZulu-Natal,Ward 52504005,KZN254,3360,0.5318452380952381,False,8.11969625295725,0.4741333025298304,0.03133743704532736,2021
KwaZulu-Natal,Ward 52504006,KZN254,3709,0.471286060932866,False,8.21851757748959,0.47917990062669474,0.04061784897025172,2021
KwaZulu-Natal,Ward 52504007,KZN254,3880,0.4881443298969072,False,8.263590432617319,0.4777750448796913,0.029567053854276663,2021
KwaZulu-Natal,Ward 52504008,KZN254,3958,0.4886306215260232,False,8.28349412616251,0.47773452057726495,0.016546018614270942,2021
KwaZulu-Natal,Ward 52504009,KZN254,4422,0.4979647218453188,False,8.394347361417392,0.4769566788839903,0.023614895549500452,2021
KwaZulu-Natal,Ward 52504010,KZN254,4161,0.4275414563806777,False,8.333510708982942,0.48282528433937705,0.012928611579539067,2021
KwaZulu-Natal,Ward 52504011,KZN254,3986,0.5090316106372303,False,8.29054350077274,0.47603443815133106,0.021192705766387383,2021
KwaZulu-Natal,Ward 52504012,KZN254,3792,0.4899789029535865,False,8.240648863374913,0.4776221637916347,0.01883745963401507,2021
KwaZulu-Natal,Ward 52504013,KZN254,3520,0.4786931818181818,False,8.166216268592143,0.4785626405529184,0.029080118694362018,2021
KwaZulu-Natal,Ward 52601001,KZN261,3424,0.6504088785046729,False,8.138564737261632,0.5614843925632808,0.01706331387516839,2021
KwaZulu-Natal,Ward 52601002,KZN261,4367,0.5607968857339134,False,8.381831553485561,0.5742861058162464,0.01837484687627603,2021
KwaZulu-Natal,Ward 52601003,KZN261,4216,0.5384250474383302,False,8.346642090221199,0.5774820827156155,0.018502202643171806,2021
KwaZulu-Natal,Ward 52601004,KZN261,4239,0.5293701344656758,False,8.352082671352637,0.5787756417117089,0.004456327985739751,2021
KwaZulu-Natal,Ward 52601005,KZN261,4715,0.5891834570519618,False,8.458504195067558,0.5702308813422395,0.011159107271418287,2021
KwaZulu-Natal,Ward 52601006,KZN261,4269,0.5767158585148747,False,8.359134886757962,0.5720119668475377,0.010560519902518278,2021
KwaZulu-Natal,Ward 52601007,KZN261,4100,0.5265853658536586,False,8.318742252692399,0.57917346579914,0.018990273274664196,2021
KwaZulu-Natal,Ward 52601008,KZN261,3586,0.6093139988845511,False,8.184792654165078,0.5673550896518696,0.010526315789473684,2021
KwaZulu-Natal,Ward 52602001,KZN262,3939,0.5582635186595583,False,8.278682162970906,0.5420750676133265,0.020009095043201454,2021
KwaZulu-Natal,Ward 52602002,KZN262,4335,0.522722029988466,False,8.374476889214643,0.5446137453755474,0.011915269196822596,2021
KwaZulu-Natal,Ward 52602003,KZN262,4044,0.5682492581602374,False,8.304989580140361,0.5413618005061351,0.01610095735422106,2021
KwaZulu-Natal,Ward 52602004,KZN262,5038,0.5333465660976578,False,8.524764456912555,0.5438548499391765,0.01786378861183476,2021
KwaZulu-Natal,Ward 52602005,KZN262,3710,0.5401617250673855,False,8.21878715560148,0.5433680528699103,0.010978043912175649,2021
KwaZulu-Natal,Ward 52602006,KZN262,4585,0.6355507088331516,False,8.430545384690566,0.5365545540294984,0.013726835964310227,2021
KwaZulu-Natal,Ward 52602007,KZN262,4449,0.4998876151944257,False,8.400434630806041,0.5462447750036932,0.011241007194244604,2021
KwaZulu-Natal,Ward 52602008,KZN262,4001,0.538365408647838,False,8.294299608857235,0.5434963611855922,0.01160631383472609,2021
KwaZulu-Natal,Ward 52602009,KZN262,5096,0.5076530612244898,False,8.536211197252,0.54569010028726,0.021260146888287593,2021
KwaZulu-Natal,Ward 52602010,KZN262,4700,0.5591489361702128,False,8.45531778769815,0.5420118235054227,0.00989345509893455,2021
KwaZulu-Natal,Ward 52602011,KZN262,4917,0.5901972747610331,False,8.50045386741194,0.5397940850346498,0.009303928325292901,2021
KwaZulu-Natal,Ward 52602012,KZN262,3920,0.5163265306122449,False,8.273846932784508,0.5450705667595631,0.0133399209486166,2021
